title,source,amount,due_date,summary,eligibility,tags,url,pdf_url,score,notes,grant_type,urgency,estimated_eligibility,open_date,recurrence
Arts Projects - Individual Artists,Creative Australia,"$5,000 - $60,000",15 March 2025,"Support for individual artists to create new work, develop their practice, or collaborate with others. Funding for film, digital media, and cross-artform projects.",Individual artists who are Australian citizens or permanent residents. Must demonstrate artistic merit and professional development outcomes.,"Arts, Film, Digital Media, Individual",https://australiacouncil.gov.au/funding/funding-index/arts-projects-individual-artists/,https://australiacouncil.gov.au/workspace/uploads/files/arts-projects-guidelines.pdf,85,,Project Funding,Normal,High - matches documentary and digital storytelling focus,15 January 2025,Annual
First Nations Arts and Culture Program,Creative Australia,"$10,000 - $150,000",28 February 2025,"Support for First Nations artists and cultural practitioners to create, present and distribute their work. Priority for projects that strengthen cultural protocols and community engagement.","First Nations artists, cultural practitioners, and organisations. Must demonstrate connection to community and cultural protocols.","First Nations, Arts, Culture, Community",https://australiacouncil.gov.au/funding/funding-index/first-nations-arts-and-culture/,https://australiacouncil.gov.au/workspace/uploads/files/first-nations-guidelines.pdf,95,,Cultural Development,Hot,Very High - directly aligns with First Nations storytelling focus,1 December 2024,Annual
Documentary Producer Program,Screen Australia,"$20,000 - $500,000",30 April 2025,"Development and production funding for documentary projects that reflect Australian stories and perspectives. Priority for projects addressing social issues, environment, and diverse communities.",Independent production companies with demonstrated track record. Must have Australian content and creative control.,"Documentary, Film, Social Impact, Australian Stories",https://www.screenaustralia.gov.au/funding-and-support/feature-films/documentary/,https://www.screenaustralia.gov.au/getmedia/documentary-guidelines.pdf,92,,Production Funding,Normal,Very High - perfect match for documentary production,1 February 2025,Ongoing
Online and Games Fund,Screen Australia,"$30,000 - $200,000",20 March 2025,"Support for innovative digital content including web series, interactive documentaries, and immersive storytelling experiences. Focus on emerging technologies and new platforms.","Australian production companies, digital agencies, and creative collectives. Must demonstrate innovation in digital storytelling.","Digital Media, Innovation, Interactive, Web Series",https://www.screenaustralia.gov.au/funding-and-support/online-and-games/,https://www.screenaustralia.gov.au/getmedia/online-games-guidelines.pdf,88,,Digital Innovation,Normal,High - matches digital storytelling and innovation focus,15 January 2025,Quarterly
Creative Partnerships Australia,Creative Victoria,"$25,000 - $100,000",10 February 2025,Funding for partnerships between creative organisations and community groups to deliver projects that address social challenges through arts and creativity.,Victorian-based creative organisations partnering with community groups. Must demonstrate social impact outcomes.,"Partnership, Social Impact, Community, Victoria",https://creative.vic.gov.au/grants-and-support/grants/creative-partnerships-australia,https://creative.vic.gov.au/grants/creative-partnerships-guidelines.pdf,78,,Partnership Funding,Hot,Medium - requires Victorian base but matches social impact focus,1 November 2024,Annual
VicScreen Development Programs,VicScreen,"$15,000 - $75,000",31 March 2025,"Development funding for screen content including documentaries, digital series, and innovative storytelling formats. Priority for diverse voices and stories.",Victorian screen practitioners and production companies. Must demonstrate Victorian economic benefit.,"Screen, Development, Diverse Voices, Victoria",https://vicscreen.vic.gov.au/funding/development-programs/,https://vicscreen.vic.gov.au/funding/development-guidelines.pdf,82,,Development Funding,Normal,Medium-High - good match but requires Victorian presence,1 January 2025,Annual
Community Grants Programme,Department of Social Services,"$5,000 - $50,000",25 February 2025,Funding for community organisations to deliver projects that strengthen communities and support vulnerable groups. Includes digital inclusion and storytelling initiatives.,"Incorporated not-for-profit organisations, community groups, and social enterprises. Must demonstrate community benefit.","Community, Social Enterprise, Digital Inclusion, Vulnerable Groups",https://www.dss.gov.au/grants/community-grants-programme,https://www.dss.gov.au/grants/community-grants-guidelines.pdf,65,,Community Support,Hot,Medium - requires NFP structure but good community focus match,15 December 2024,Annual
Innovative Communities Programme,"Department of Industry, Science and Resources","$50,000 - $300,000",15 April 2025,Support for innovative projects that use technology and creative approaches to address community challenges. Includes digital storytelling and media innovation projects.,"Australian businesses, research organisations, and community groups. Must demonstrate innovation and scalability.","Innovation, Technology, Community Challenges, Scalability",https://business.gov.au/grants-and-programs/innovative-communities-programme,https://business.gov.au/grants/innovative-communities-guidelines.pdf,75,,Innovation Funding,Normal,"Medium-High - good innovation match, need to demonstrate scalability",1 February 2025,Annual
Westpac Foundation Social Impact Grants,Westpac Foundation,"$10,000 - $100,000",1 March 2025,"Funding for projects that create positive social impact in Australian communities. Priority for projects addressing education, social inclusion, and community resilience.",Australian registered charities and social enterprises. Must demonstrate measurable social impact outcomes.,"Social Impact, Foundation, Community Resilience, Social Enterprise",https://www.westpac.com.au/about-westpac/westpac-group/community/grants/,https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/community/social-impact-grants-guidelines.pdf,70,,Philanthropic,Normal,Medium - requires charity/social enterprise status,1 January 2025,Annual
Foundation for Rural & Regional Renewal,FRRR,"$5,000 - $35,000",20 March 2025,Small grants for rural and regional communities to deliver projects that strengthen community connections and address local challenges through creative and innovative approaches.,"Rural and regional community groups, schools, and small organisations. Must be located outside major metropolitan areas.","Rural, Regional, Community, Small Grants",https://frrr.org.au/funding/,https://frrr.org.au/cb_pages/files/FRRR-Guidelines.pdf,55,,Community Development,Normal,Low-Medium - requires rural/regional location,1 February 2025,Quarterly
